frame id,xmin,ymin,xmax,ymax,class,score
1,727,2,755,66,1,0.30022403597831726
1,633,385,1191,686,3,0.3738383650779724
1,366,187,434,255,3,0.9880772829055786
1,144,240,240,360,8,0.9170264601707458
1,286,31,309,52,3,0.8883354663848877
1,681,433,1103,684,8,0.7272157073020935
1,806,20,839,40,3,0.4517630934715271
2,619,421,1134,681,8,0.8590759634971619
2,659,415,1135,641,3,0.3179473876953125
2,366,185,432,252,3,0.9803048968315125
2,143,240,237,355,8,0.9136878848075867
2,287,29,311,52,3,0.8456258773803711
2,730,3,756,73,1,0.569737434387207
2,803,16,839,40,3,0.43075427412986755
2,538,159,545,177,1,0.34312787652015686
2,679,18,696,76,1,0.33296677470207214
3,599,306,1182,691,8,0.43202897906303406
3,365,182,431,249,3,0.975222647190094
3,142,238,238,356,8,0.9334323406219482
3,287,28,312,52,3,0.7971315979957581
3,729,2,756,74,1,0.6087782979011536
3,682,414,1127,538,3,0.3843773603439331
3,538,159,546,176,1,0.30828288197517395
4,581,342,1171,684,8,0.3362347185611725
4,365,180,431,247,3,0.9597811102867126
4,144,234,239,352,8,0.9315499067306519
4,286,29,311,51,3,0.8796864151954651
4,729,2,757,72,1,0.5418940186500549
5,586,358,1185,687,8,0.3255215883255005
5,144,233,236,350,8,0.9640316367149353
5,364,179,429,245,3,0.9595266580581665
5,1210,594,1279,671,4,0.9139631390571594
5,286,29,311,51,3,0.8880962133407593
5,599,447,775,627,8,0.7019163370132446
5,731,1,756,65,1,0.5256313681602478
5,636,455,1065,677,3,0.3378909230232239
6,559,334,1179,687,8,0.47160106897354126
6,364,178,428,244,3,0.957644522190094
6,145,233,234,345,8,0.9292582273483276
6,286,29,310,52,3,0.887782871723175
6,1195,588,1280,675,4,0.7770901918411255
6,731,1,756,64,1,0.43310779333114624
6,687,419,807,467,3,0.3134286105632782
7,561,315,1169,683,8,0.4011247456073761
7,364,176,427,242,3,0.9533262252807617
7,146,232,236,343,8,0.9018622636795044
7,288,30,310,51,3,0.836578369140625
7,1176,587,1280,678,4,0.7710709571838379
7,730,2,755,69,1,0.533491849899292
7,568,437,740,618,8,0.43373438715934753
7,675,421,1036,525,3,0.35693466663360596
8,543,361,1198,670,8,0.49221271276474
8,361,176,425,238,3,0.9752973914146423
8,147,230,236,341,8,0.8965268135070801
8,1167,575,1277,672,4,0.8405460715293884
8,558,434,735,624,8,0.8177600502967834
8,287,28,312,51,3,0.8101009726524353
8,730,1,756,72,1,0.5089433193206787
8,1247,554,1279,631,1,0.3878469169139862
9,541,276,1162,681,8,0.4270256459712982
9,1148,555,1275,673,4,0.9829098582267761
9,360,173,423,235,3,0.9796481728553772
9,146,228,236,341,8,0.9649890065193176
9,287,27,311,50,3,0.7384210228919983
9,667,411,917,512,8,0.49511298537254333
9,732,1,757,65,1,0.48420292139053345
9,757,428,782,462,1,0.3797587752342224
9,544,430,729,619,8,0.31772708892822266
9,674,411,901,510,3,0.30140236020088196
10,546,341,1202,675,8,0.9546433687210083
10,362,173,424,232,3,0.9786273837089539
10,148,227,236,337,8,0.945281982421875
10,287,27,312,49,3,0.7501351833343506
10,650,410,912,513,8,0.5951222777366638
10,731,1,757,59,1,0.44361814856529236
10,651,410,923,512,3,0.3201070725917816
11,373,136,1202,666,8,0.33688873052597046
11,358,172,423,232,3,0.9820632934570312
11,148,223,235,338,8,0.9514340162277222
11,530,426,721,620,8,0.7692344784736633
11,286,27,311,49,3,0.7427955269813538
11,731,2,758,69,1,0.4829537868499756
11,654,417,899,508,3,0.46834224462509155
11,1118,559,1264,671,4,0.4631183445453644
11,646,415,912,509,8,0.4159350097179413
11,539,159,547,176,1,0.31490081548690796
12,532,361,1182,674,8,0.4553799629211426
12,356,172,422,232,3,0.9802077412605286
12,147,223,233,338,8,0.9086912870407104
12,628,413,902,509,8,0.6530741453170776
12,286,27,311,48,3,0.6483042240142822
12,732,1,757,58,1,0.5374610424041748
12,539,160,547,177,1,0.40145039558410645
12,514,428,710,609,8,0.34216806292533875
12,462,10,493,35,3,0.31690526008605957
13,513,337,1193,671,8,0.9532138705253601
13,357,170,421,230,3,0.9769102334976196
13,147,221,233,336,8,0.9597379565238953
13,289,28,312,50,3,0.78927081823349
13,733,1,756,60,1,0.5673952102661133
13,629,411,875,509,8,0.5294627547264099
13,169,43,195,89,2,0.33161264657974243
13,638,412,860,508,3,0.3156276047229767
14,446,122,1191,667,8,0.4156135618686676
14,357,169,420,230,3,0.9830154776573181
14,147,222,234,334,8,0.96294105052948
14,499,423,687,610,8,0.8730428814888
14,287,28,311,49,3,0.8060705065727234
14,612,406,889,510,8,0.6362239718437195
14,733,1,757,56,1,0.4988272786140442
14,459,9,491,37,3,0.37579676508903503
14,625,404,861,505,3,0.3264645040035248
15,392,180,1185,678,8,0.3079318404197693
15,356,166,419,229,3,0.979539155960083
15,484,419,676,615,8,0.9429585337638855
15,146,221,234,334,8,0.9303203225135803
15,289,27,312,49,3,0.763076663017273
15,454,9,492,37,3,0.4996483325958252
15,628,402,855,503,3,0.45222148299217224
15,734,1,756,53,1,0.40977373719215393
15,622,405,862,505,8,0.40467923879623413
16,474,424,930,649,8,0.7361134886741638
16,355,164,420,226,3,0.9568163752555847
16,149,219,234,329,8,0.8281205892562866
16,289,26,312,47,3,0.6293442249298096
16,442,6,490,37,3,0.4127882421016693
16,734,1,756,53,1,0.4084692597389221
16,598,400,840,503,8,0.40792274475097656
16,541,162,547,176,1,0.3484448790550232
17,499,426,899,643,8,0.9786525964736938
17,353,162,418,224,3,0.9774271249771118
17,466,420,651,609,8,0.9400559663772583
17,150,214,233,327,8,0.7675010561943054
17,286,24,308,48,3,0.6431213021278381
17,605,401,835,498,3,0.5057103037834167
17,734,2,757,54,1,0.42218098044395447
17,541,162,547,177,1,0.4096522629261017
17,588,403,835,504,8,0.34892168641090393
17,451,7,497,38,3,0.31045275926589966
18,454,419,885,643,8,0.8306443095207214
18,282,23,308,48,3,0.31439149379730225
18,352,160,417,222,3,0.9755071997642517
18,150,214,232,317,8,0.9442273378372192
18,596,400,826,499,3,0.8403170704841614
18,734,1,757,55,1,0.4423600435256958
18,541,162,547,176,1,0.3369913101196289
19,443,389,876,647,8,0.9339666366577148
19,281,25,310,48,3,0.5510064363479614
19,726,1,755,57,1,0.3243316411972046
19,353,158,415,218,3,0.9554694294929504
19,149,213,234,315,8,0.9404301643371582
19,454,10,494,40,3,0.4029786288738251
20,435,416,871,642,8,0.6774559020996094
20,282,25,310,47,3,0.4731661081314087
20,353,159,415,217,3,0.9719855785369873
20,149,211,233,315,8,0.9223612546920776
20,583,396,838,498,3,0.7108030915260315
20,454,10,493,41,3,0.4398922324180603
20,734,1,756,54,1,0.43896135687828064
20,564,396,826,497,8,0.4067152738571167
21,422,420,854,643,8,0.9362725615501404
21,353,158,414,216,3,0.9528300166130066
21,150,209,232,315,8,0.9513756036758423
21,283,24,308,48,3,0.7499927878379822
21,1012,522,1120,640,1,0.7352705597877502
21,564,395,804,495,3,0.6035994291305542
21,458,13,492,42,3,0.5316709876060486
21,734,2,756,58,1,0.41191765666007996
21,557,394,803,498,8,0.4041372239589691
21,541,161,547,177,1,0.3404637277126312
22,448,9,491,42,3,0.30910298228263855
22,435,432,866,645,8,0.9916759729385376
22,354,157,415,214,3,0.9737194776535034
22,151,209,233,316,8,0.9166150689125061
22,1025,559,1085,631,1,0.7598066926002502
22,285,26,309,49,3,0.7224276065826416
22,554,391,787,498,8,0.6004814505577087
22,733,1,756,59,1,0.4641074240207672
22,556,394,785,495,3,0.4259490668773651
22,415,414,626,577,8,0.42077693343162537
23,402,401,850,645,8,0.9581699967384338
23,353,155,415,213,3,0.9795621633529663
23,149,207,235,314,8,0.8913440108299255
23,554,391,783,489,3,0.7578948140144348
23,283,21,309,47,3,0.5087671875953674
23,732,1,756,61,1,0.4349953234195709
23,457,11,494,41,3,0.4071141183376312
23,541,161,547,177,1,0.31697171926498413
24,425,442,828,642,8,0.9904649257659912
24,352,154,415,212,3,0.9643408060073853
24,398,405,601,588,8,0.8615185618400574
24,150,202,234,314,8,0.8558962345123291
24,544,387,772,487,3,0.6472747921943665
24,730,0,755,66,1,0.5471004247665405
24,455,8,498,41,3,0.38991621136665344
24,281,18,309,46,3,0.3874453008174896
24,537,388,769,489,8,0.38517412543296814
24,541,161,547,176,1,0.3271315395832062
25,727,1,756,73,1,0.3228318393230438
25,422,442,800,634,8,0.9751856923103333
25,352,152,413,210,3,0.960203230381012
25,390,405,596,587,8,0.9447900056838989
25,152,201,233,309,8,0.7339721322059631
25,540,387,753,488,3,0.7135569453239441
25,282,19,309,47,3,0.5106875896453857
25,976,533,1075,627,1,0.4971316158771515
25,541,162,548,177,1,0.38982656598091125
25,536,389,767,490,8,0.33411920070648193
26,383,403,807,633,8,0.6714808344841003
26,352,151,411,208,3,0.948863685131073
26,153,200,234,306,8,0.7327358722686768
26,533,386,749,486,8,0.6882127523422241
26,732,1,755,63,1,0.5941106677055359
26,280,17,310,46,3,0.38502517342567444
26,540,161,547,177,1,0.3340815603733063
27,413,443,797,642,8,0.9800513982772827
27,371,405,576,586,8,0.9562196731567383
27,351,151,409,208,3,0.9532434344291687
27,283,16,308,48,3,0.689233124256134
27,519,390,743,489,8,0.5534219145774841
27,155,201,235,300,8,0.4678066074848175
27,732,4,757,70,1,0.43394485116004944
27,523,386,734,483,3,0.4259747564792633
27,448,12,494,41,3,0.372406542301178
28,364,402,788,642,8,0.9575085639953613
28,727,2,756,74,1,0.32959428429603577
28,351,149,408,207,3,0.9442325234413147
28,516,386,722,478,3,0.7836822271347046
28,152,201,235,298,8,0.7782924771308899
28,282,12,309,48,3,0.6995247006416321
28,457,12,495,44,3,0.3747795522212982
28,433,263,1153,650,8,0.3220956325531006
29,360,394,766,631,8,0.9475904703140259
29,352,150,407,205,3,0.9269213676452637
29,153,201,235,295,8,0.6981083154678345
29,281,11,310,47,3,0.6279428005218506
29,521,384,721,485,8,0.49739348888397217
29,521,382,720,481,3,0.46981337666511536
29,734,2,757,63,1,0.43151357769966125
29,489,15,517,37,3,0.3711005747318268
30,352,403,755,624,8,0.9516729712486267
30,351,147,408,203,3,0.9222111701965332
30,153,197,234,292,8,0.8177645802497864
30,733,2,756,62,1,0.5368414521217346
30,504,381,714,478,3,0.5340183973312378
30,505,381,715,482,8,0.4428548514842987
30,281,10,311,46,3,0.31261828541755676
30,541,162,547,177,1,0.3050844967365265
31,362,412,758,620,8,0.996852695941925
31,151,193,233,293,8,0.9458178281784058
31,350,146,408,202,3,0.9349307417869568
31,342,398,537,560,8,0.916025698184967
31,490,375,708,478,3,0.8115918636322021
31,731,4,755,68,1,0.5566491484642029
31,488,14,519,38,3,0.45943158864974976
32,726,3,754,74,1,0.38902735710144043
32,375,436,754,631,8,0.9877602458000183
32,152,192,233,291,8,0.9222234487533569
32,335,400,526,558,8,0.9142782688140869
32,349,144,408,199,3,0.9115053415298462
32,492,371,703,478,3,0.7056031823158264
32,491,15,518,38,3,0.6204177737236023
32,1024,167,1117,205,3,0.4038502275943756
33,325,393,713,615,8,0.7971628904342651
33,349,143,406,196,3,0.9365188479423523
33,154,192,231,291,8,0.8654302954673767
33,478,372,692,479,8,0.7123885750770569
33,732,4,754,66,1,0.5624350309371948
33,489,15,520,38,3,0.42408066987991333
33,1024,166,1120,206,3,0.3469230830669403
34,314,397,724,627,8,0.9021614789962769
34,350,143,405,194,3,0.9274097681045532
34,154,190,231,292,8,0.8432212471961975
34,473,371,684,475,3,0.5597410798072815
34,733,4,756,63,1,0.49512410163879395
34,476,372,686,477,8,0.4278593957424164
34,490,16,521,38,3,0.38743117451667786
34,1021,166,1119,206,3,0.36995136737823486
34,489,9,591,44,3,0.310960978269577
35,308,395,701,619,8,0.9228898286819458
35,728,3,756,71,1,0.3257862329483032
35,348,141,405,194,3,0.9044839143753052
35,155,189,233,291,8,0.8654450178146362
35,476,371,681,475,8,0.5224402546882629
35,472,371,680,472,3,0.4675885736942291
35,852,530,915,590,1,0.41831615567207336
35,487,11,590,44,3,0.366667240858078
36,294,384,702,620,8,0.3972507119178772
36,729,3,756,71,1,0.37152379751205444
36,459,20,494,42,3,0.36666953563690186
36,349,141,404,192,3,0.8941187858581543
36,156,190,231,286,8,0.8040305376052856
36,465,369,670,468,3,0.7654715776443481
36,483,9,597,45,3,0.6478325128555298
36,468,369,671,471,8,0.4205423891544342
36,827,532,909,602,4,0.32600077986717224
37,297,389,699,619,8,0.9107221364974976
37,461,20,495,43,3,0.30797797441482544
37,854,501,919,591,1,0.9322545528411865
37,348,140,404,191,3,0.926132082939148
37,457,367,662,467,3,0.8164073824882507
37,158,187,231,283,8,0.722220778465271
37,732,2,755,63,1,0.5750816464424133
37,816,535,932,606,4,0.5277370810508728
37,492,17,524,40,3,0.42529597878456116
